year,corn_yield_odt,soy_yield_odt,wheat_yield_odt,corn_grain_yield,corn_silage_yield,soy_yield,wheat_yield,corn_grain_yield_aug_forecast,corn_grain_yield_nov_forecast,corn_grain_yield_oct_forecast,corn_grain_yield_sep_forecast,soy_yield_aug_forecast,soy_yield_nov_forecast,soy_yield_oct_forecast,soy_yield_sep_forecast,wheat_yield_aug_forecast,wheat_yield_jul_forecast,wheat_yield_jun_forecast,wheat_yield_may_forecast,wheat_yield_sep_forecast
1866,NA,NA,NA,37,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1867,NA,NA,NA,30,NA,NA,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1868,NA,NA,NA,35,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1869,NA,NA,NA,30,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1870,NA,NA,NA,39,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1871,NA,NA,NA,39,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1872,NA,NA,NA,40,NA,NA,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1873,NA,NA,NA,35,NA,NA,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1874,NA,NA,NA,37,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1875,NA,NA,NA,34.5,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1876,NA,NA,NA,37.5,NA,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1877,NA,NA,NA,32.5,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1878,NA,NA,NA,36,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1879,NA,NA,NA,34.1,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1880,NA,NA,NA,39,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1881,NA,NA,NA,31,NA,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1882,NA,NA,NA,34,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1883,NA,NA,NA,26,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1884,NA,NA,NA,33,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1885,NA,NA,NA,39,NA,NA,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1886,NA,NA,NA,34,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1887,NA,NA,NA,31,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1888,NA,NA,NA,38.5,NA,NA,10.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1889,NA,NA,NA,35.7,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1890,NA,NA,NA,25,NA,NA,14.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1891,NA,NA,NA,37.5,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1892,NA,NA,NA,31,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1893,NA,NA,NA,29,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1894,NA,NA,NA,30.5,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1895,NA,NA,NA,33.5,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,NA,NA,NA,42,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1897,NA,NA,NA,35,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1898,NA,NA,NA,40,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1899,NA,NA,NA,39.7,NA,NA,15.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,NA,NA,NA,42.5,NA,NA,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1901,NA,NA,NA,30,NA,NA,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1902,NA,NA,NA,40,NA,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1903,NA,NA,NA,32.5,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1904,NA,NA,NA,35.5,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1905,NA,NA,NA,39.5,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1906,NA,NA,NA,43,NA,NA,20.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1907,NA,NA,NA,36,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1908,NA,NA,NA,38.5,NA,NA,17,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1909,NA,NA,NA,40.2,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1910,NA,NA,NA,36.5,NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1911,NA,NA,NA,39.5,NA,NA,15.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1912,NA,NA,NA,41.5,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1913,NA,NA,NA,37.5,NA,NA,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1914,NA,NA,NA,39,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1915,NA,NA,NA,40.5,NA,NA,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1916,NA,NA,NA,31.5,NA,NA,13.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1917,NA,NA,NA,37,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1918,NA,NA,NA,36,NA,NA,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1919,NA,NA,NA,41.5,8.5,NA,19.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1920,NA,NA,NA,40,8.1,NA,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1921,NA,NA,NA,39.5,8.3,NA,12.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1922,NA,NA,NA,37,8,NA,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1923,NA,NA,NA,40,8.6,NA,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1924,NA,NA,NA,27.5,6,11.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1925,NA,NA,NA,47,8.7,14,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1926,NA,NA,NA,40,7.9,11.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1927,NA,NA,NA,34,7.7,14.5,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1928,NA,NA,NA,37,8,15,11.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1929,NA,NA,NA,35.1,7.7,15.1,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1930,NA,NA,NA,27.5,5.4,14,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1931,NA,NA,NA,45,9.5,20,28.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1932,NA,NA,NA,37,8.5,15.5,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1933,NA,NA,NA,35,6.8,16,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1934,NA,NA,NA,32.9,8,17,18.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1935,NA,NA,NA,44,10,21,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1936,NA,NA,NA,33,7.5,15.5,18.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1937,NA,NA,NA,43,8.5,19,19,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1938,NA,NA,NA,44,9.5,21,19.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1939,NA,NA,NA,49.5,10.1,21.1,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1940,NA,NA,NA,38,8,16,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1941,NA,NA,NA,49.5,9.8,20,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1942,NA,NA,NA,56,10.3,22.5,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1943,NA,NA,NA,51,9,21,16.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1944,NA,NA,NA,40.4,7.5,17.6,22.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1945,NA,NA,NA,50.5,9,18,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1946,NA,NA,NA,49,8.5,18,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1947,NA,NA,NA,41,7.5,18.5,22.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1948,NA,NA,NA,58.5,9.7,20.5,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1949,NA,NA,NA,54,10,24,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1950,NA,NA,NA,52,9.5,22.5,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1951,NA,NA,NA,48,9.5,19,18,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1952,NA,NA,NA,53,9.6,22,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,NA,NA,NA,55,9.5,20.5,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1954,NA,NA,NA,61,9.9,25,27,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1955,NA,NA,NA,59,9.8,24.5,29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1956,NA,NA,NA,60,9.5,24,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1957,NA,NA,NA,54,9.3,23,22,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1958,NA,NA,NA,60,10.1,26,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1959,NA,NA,NA,62.5,11.1,25,24.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1960,NA,NA,NA,68,11.5,24.5,35,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,74,12.5,28,31,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,76,12.5,25,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,78,12.2,23.5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,65,12.5,22.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,74,11.8,24.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,84,13.6,28.5,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,79,12.7,22.5,34,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,86,14.2,30.5,37.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,87,14.5,29.5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,79,13.2,28.5,38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,91,14.7,30.5,44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,92,14,26.5,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,80,12,25.5,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,75,12,26,41,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,93,14,33,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,103,14.5,33,40,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,105,14,35,47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,105,15,33,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,115,15,35.5,48,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,113,14.5,36,49,112,115,115,115,34,35,35,35,NA,NA,NA,NA,NA
1981,NA,NA,NA,96,14,28.5,44,93,95,95,92,30,29,29,29,NA,NA,NA,NA,NA
1982,NA,NA,NA,114,16,36,43,122,117,114,116,39,37,37,38,NA,NA,NA,NA,NA
1983,NA,NA,NA,80,13.5,32,49,110,83,85,95,36,31,31,31,NA,NA,NA,NA,NA
1984,NA,NA,NA,118,16,36.5,44,100,115,110,108,32,36,36,36,NA,NA,NA,NA,NA
1985,NA,NA,NA,127,17,41.5,62,128,128,128,128,37,42,40,39,NA,NA,NA,NA,NA
1986,NA,NA,NA,128,17,40.5,46,128,128,128,128,39,42,41,39,NA,NA,NA,NA,NA
1987,NA,NA,NA,120,16,37,58,135,123,123,127,43,39,39,40,NA,NA,NA,NA,NA
1988,NA,NA,NA,85,10.5,27,50,70,76,74,74,28,28,29,29,NA,NA,NA,NA,NA
1989,NA,NA,NA,117,14,31.5,51,115,118,115,115,33,33,33,33,NA,NA,NA,NA,NA
1990,NA,NA,NA,121,16,39,60,120,123,123,125,36,39,37,36,59,53,53,53,59
1991,NA,NA,NA,96,13,36,49,98,92,90,90,33,36,36,32,49,50,54,54,NA
1992,NA,NA,NA,143,20,40,53,125,137,131,128,37,39,38,37,53,51,47,49,NA
1993,NA,NA,NA,110,13.5,38,52,128,112,113,115,41,37,39,39,53,54,53,56,NA
1994,NA,NA,NA,139,18,43.5,58,124,139,134,129,40,44,46,44,58,60,56,54,NA
1995,NA,NA,NA,121,15.5,38,61,124,120,122,122,39,39,41,42,61,59,59,57,NA
1996,NA,NA,NA,111,14.5,35,39,111,114,108,108,35,35,34,32,41,44,50,51,NA
1997,NA,NA,NA,134,18,44,63,130,134,130,130,42,45,43,43,62,57,54,51,NA
1998,NA,NA,NA,141,17,44,64,140,144,141,143,44,44,41,44,64,64,60,62,64
1999,NA,NA,NA,126,15,36,70,131,125,124,125,42,37,37,39,70,66,62,61,70
2000,NA,NA,NA,147,16,42,72,142,149,152,145,41,44,43,43,72,72,72,72,NA
2001,NA,NA,NA,138,17,41,67,138,144,143,139,42,42,43,43,67,63,65,70,NA
2002,NA,NA,NA,89,10,32,62,112,96,104,110,36,32,32,33,62,62,65,66,NA
2003,NA,NA,NA,156,19,38.5,68,142,156,154,145,42,40,41,42,66,66,68,68,NA
2004,NA,NA,NA,158,17,47,62,154,160,160,156,40,47,46,40,62,64,67,68,NA
2005,NA,NA,NA,143,17,45,71,135,143,141,141,42,44,44,44,70,68,68,66,NA
2006,132,40,63,159,17,47,68,160,161,161,160,45,46,46,46,68,68,68,69,NA
2007,134,40,64,150,17,47,61,143,150,150,150,44,46,46,44,64,64,64,64,NA
2008,139,42,67,131,17,36,67,160,140,147,152,45,36,38,42,68,67,67,64,NA
2009,140.7,42,66.7,171,20,49,71,165,166,166,165,47,48,46,47,71,68,66,66,NA
2010,140.1,41.2,67.1,160,17,48,61,176,165,167,173,46,48,48,48,61,66,72,72,NA
2011,144.9,42.5,67.3,153,18,48,57,158,159,154,153,44,46,46,46,60,64,67,69,NA
2012,146.5,43.1,66.2,120,15,45,68,126,125,123,126,42,47,43,40,67,67,61,63,NA
2013,148.5,43.7,65.3,174,19.5,49.5,70,172,174,NA,172,50,49,NA,49,68,67,66,64,NA
2014,151.9,45,66,176,20.5,52.5,74,177,177,178,179,49,50,50,50,74,68,67,66,NA
2015,155.2,46.7,67.1,153,20,50,67,168,163,165,163,48,50,50,48,65,70,73,70,NA
2016,156.2,47.2,66.7,159,15.5,54.5,80,163,164,160,162,52,55,53,53,77,76,75,74,NA
2017,156.2,47.9,67.9,177,20,49.5,74,171,173,173,173,53,51,52,54,77,75,76,78,NA
2018,158.9,48.2,69.2,187,20,58,75,180,193,190,188,56,59,60,58,75,79,79,77,NA
2019,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
