"year","mortgage_pct_odt","mortgage_years_odt","sinking_years_odt","mills_post_reduction_odt","rollback_odt","mills_post_rollback_odt","tax_additur_odt","interest_rate_15_odt","interest_rate_25_odt","equity_rate_usda_odt","equity_rate_bankrate","equity_rate_odt","interest_rate_odt","cap_rate_odt","equity_rate_usda","dallas_fed_re_q1","kansas_fed_re_q1","chicago_fed_re_q1","tax_additur_cauv","dallas_fed_re","kansas_fed_re","chicago_fed_re","equity_rate_cauv","interest_rate_cauv","interest_rate_dallas","interest_rate_kansas","interest_rate_chicago","mortgage_equity_cauv","mortgage_equity_dallas","mortgage_equity_kansas","mortgage_equity_chicago","cap_intermediate_cauv","cap_intermediate_dallas","cap_intermediate_kansas","cap_intermediate_chicago","cap_less_cauv","cap_less_dallas","cap_less_kansas","cap_less_chicago","cap_rate_cauv","cap_rate_dallas","cap_rate_kansas","cap_rate_chicago","cap_rate_cauv_exp"
1960,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0288996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1961,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0720694,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1962,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0696846,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0724186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1964,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0617728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1965,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1220586,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1019368,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1967,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0813505,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1968,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0707659,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0728621,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1970,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0702031,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1971,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1183212,NA,NA,0.0776,NA,NA,NA,0.0776,NA,NA,NA,NA,0.0776,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1972,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181039,NA,NA,0.0762,NA,NA,NA,0.0769,NA,NA,NA,NA,0.07725,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1973,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3264981,NA,NA,0.0771,NA,NA,NA,0.0769666666666667,NA,NA,NA,NA,0.0771555555555556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1974,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1240121,NA,NA,0.0839,NA,NA,NA,0.0787,NA,NA,NA,NA,0.0775416666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.181967,NA,NA,0.0894,NA,NA,NA,0.08084,NA,NA,NA,NA,0.0782013333333333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1830353,NA,NA,0.0895,NA,NA,NA,0.0822833333333333,NA,NA,NA,NA,0.0788816666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1977,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1223424,NA,NA,0.0891,NA,NA,NA,0.08342,NA,NA,NA,NA,0.079278,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.222724,NA,NA,0.0907,NA,NA,NA,0.0858,NA,NA,NA,NA,0.080442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1979,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.205029,NA,NA,0.1047,NA,NA,NA,0.08852,NA,NA,NA,NA,0.0822086666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1980,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1013306,NA,NA,0.1617,NA,NA,NA,0.09268,NA,NA,NA,NA,0.0841726666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1981,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.001055,NA,NA,0.1538,NA,NA,NA,0.10562,NA,NA,NA,NA,0.0865406666666667,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1982,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0438963,NA,NA,0.1676,NA,NA,NA,0.12008,NA,NA,NA,NA,0.091208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0147091,NA,NA,0.1346,NA,NA,NA,0.1291,NA,NA,NA,NA,0.09854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1984,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0706746,NA,NA,0.1342,NA,NA,NA,0.1378,NA,NA,NA,NA,0.1072,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1985,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.1671218,NA,NA,0.1322,NA,NA,NA,0.1433,NA,NA,NA,NA,0.117056,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0786707,NA,NA,0.1167,NA,NA,NA,0.1433,NA,NA,NA,NA,0.12718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0851825,NA,NA,0.1027,NA,NA,NA,0.1343,NA,NA,NA,NA,0.132916,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1988,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0751346,NA,0.1093,0.1048,NA,NA,0.1093,0.1245,NA,NA,NA,0.1093,0.1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1989,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0703737,NA,0.1207,0.117,NA,NA,0.115,0.12098,NA,NA,NA,0.11215,0.1338,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1990,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0679116,NA,0.1147,0.1108,NA,NA,0.1149,0.1163,NA,NA,NA,0.113066666666667,0.132176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1991,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0235,NA,NA,NA,NA,0.0235064,NA,0.1094,0.1057,NA,NA,0.113525,0.111,NA,NA,NA,0.11318125,0.127876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1992,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0655,NA,NA,NA,NA,0.065479,NA,0.0946,0.0919,NA,NA,0.10974,0.10814,NA,NA,NA,0.112493,0.121416,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1993,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0768,NA,NA,NA,NA,0.0768118,NA,0.0862,0.0829,NA,NA,0.105816666666667,0.10318,NA,NA,NA,0.111380277777778,0.116184,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1994,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0608,NA,NA,NA,NA,0.0608334,NA,0.0836,0.0797,NA,NA,0.10284,0.09922,NA,NA,NA,0.110656333333333,0.11192,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1995,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0473,NA,NA,NA,NA,0.0473265,NA,0.1005,0.0968,NA,NA,0.10108,0.09762,NA,NA,NA,0.109364333333333,0.107568,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1996,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0759,NA,NA,NA,NA,0.0759326,NA,0.0931,0.0866,NA,NA,0.09676,0.09278,NA,NA,NA,0.106600333333333,0.103832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1997,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0736,NA,NA,NA,NA,0.0736144,NA,0.0943,0.0877,NA,NA,0.09374,0.08918,NA,NA,NA,0.103247333333333,0.100188,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1998,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0612,NA,NA,NA,NA,0.0611771,NA,0.0922,0.0843,NA,NA,0.09208,0.08668,NA,NA,NA,0.100047333333333,0.096396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1999,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0812,NA,NA,NA,NA,0.0811894,NA,0.0871,0.0806,NA,NA,0.09058,0.08442,NA,NA,NA,0.0973,0.093096,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0874,NA,NA,NA,NA,0.0873919,0.0989,0.0945,0.0889,NA,0.0989,0.09224,0.08562,NA,NA,0.0989,0.09518,0.090376,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2001,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0613,NA,NA,NA,NA,0.0612662,0.0951,0.0894,0.0823,NA,0.097,0.0927,0.08596,NA,NA,0.09795,0.093504,0.088044,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,-0.0057,NA,NA,NA,NA,-0.0057424,0.0785,0.0751,0.0722,NA,0.0908333333333333,0.09122,0.0843,NA,NA,0.0955777777777778,0.092396,0.086372,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2003,NA,NA,NA,NA,NA,NA,NA,0.064,NA,0.0817,0.0625,NA,NA,0.092,0.0816668,0.0748,0.0698,0.0636,NA,0.086825,0.08762,0.08142,0.0625,0.064,0.0933895833333333,0.091764,0.085396,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2004,NA,NA,NA,NA,NA,NA,NA,0.07,NA,0.1732,0.06,NA,NA,0.09,0.1731699,0.0694,0.0667,0.0587,NA,0.08334,0.08272,0.0766,0.06125,0.067,0.0913796666666667,0.090748,0.084344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2005,NA,NA,NA,NA,NA,NA,NA,0.071,NA,0.1818,0.0725,NA,NA,0.086,0.181812,0.0752,0.0729,0.0663,NA,0.0819833333333333,0.07886,0.073,0.065,0.0683333333333333,0.0898136111111111,0.088876,0.082472,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2006,0.6,15,5,NA,NA,NA,0.014,0.077,NA,0.133,0.095,NA,NA,0.085,0.1329529,0.0844,0.0807,0.0748,0.014,0.0816,0.07758,0.07184,0.0725,0.0705,0.0879963333333333,0.086532,0.080188,0.110141618769285,0.122595213007181,0.121530277181231,0.116963690792688,0.0950849712615709,0.102557127804309,0.101918166308739,0.0991782144756129,0.0323415239487348,0.0300620572352314,0.0302461038960927,0.0310576445496793,0.0767434473128361,0.0864950705690772,0.0856720624126461,0.0821205699259336,0.0767434473128361
2007,0.6,15,5,44.84,0.1,40.34,0.014,0.077,NA,0.046,0.1025,NA,NA,0.084,0.0460139,0.0874,0.0842,0.0767,0.014,0.08006,0.07654,0.07072,0.0785,0.0718,0.0849163333333333,0.0836,0.077432,0.111046171805663,0.12035997949642,0.119410168644652,0.115004074714662,0.0980277030833978,0.103615987697852,0.103046101186791,0.100402444828797,0.0317834496935575,0.0300883392063269,0.0302540546111252,0.0310436349554927,0.0802442533898403,0.0875276484915253,0.086792046575666,0.0833588098733045,0.0802442533898403
2008,0.6,15,5,43.18,0.1,38.87,0.014,0.0695,NA,0.043,0.0925,NA,NA,0.083,0.0430059,0.0729,0.0701,0.0641,0.014,0.07716,0.07372,0.0682,0.0808333333333333,0.0714166666666667,0.0827616666666667,0.080664,0.074716,0.110779089674161,0.11880698866436,0.117303643561638,0.113087514482745,0.0988007871378299,0.103617526531949,0.102715519470316,0.100185842022981,0.0316866829064482,0.0302191740133967,0.0304850376974574,0.0312524097434363,0.0811141042313817,0.0873983525185526,0.086230481772859,0.0829334322795443,0.0811141042313817
2009,0.6,15,5,42.35,0.1,38.11,0.014,0.0655,0.071,-0.0071,0.0525,0.0765,0.0706,0.079,-0.0070928,0.0688,0.0659,0.0614,0.014,0.07534,0.07204,0.06604,0.0765,0.0706,0.0808286666666667,0.077884,0.072072,0.110211078415031,0.11742134857207,0.11532444386112,0.111235863656118,0.0967266470490184,0.101052809143242,0.0997946663166717,0.0973415181936709,0.0320710741048211,0.0307284744614527,0.0311088784888638,0.0318741907218502,0.0786555729441973,0.0843243346817893,0.0826857878278079,0.0794673274718207,0.0786555729441973
2010,0.6,15,5,46.07,0.1,41.46,0.014,0.067,0.074,0.1247,0.0525,0.0745,0.0709,0.078,0.124652,0.0687,0.0661,0.0604,0.014,0.07414,0.0713,0.0654,0.0745,0.0709,0.0792286666666667,0.075748,0.06996,0.11041957886301,0.116279886377683,0.113814030782898,0.10976688709472,0.0960517473178057,0.0995679318266101,0.0980884184697388,0.095660132256832,0.03215888371607,0.0310582096391637,0.0315133715381112,0.0322856002220807,0.0778928636017358,0.0825097221874464,0.0805750469316276,0.0773745320347513,0.0778928636017358
2011,0.6,15,5,46.29,0.1,41.66,0.013,0.0605,0.067,0.1104,0.0525,0.073,0.07,0.076,0.1103863,0.067,0.0633,0.058,0.013,0.074,0.07114,0.0654,0.073,0.07,0.07766,0.074236,0.06844,0.109794624701006,0.115165626676317,0.112750321621953,0.108715271214118,0.0950767748206039,0.0982993760057902,0.096850192973172,0.0944291627284709,0.0323769351104643,0.0313561718357081,0.0318082907153479,0.0325889425530824,0.0756998397101395,0.0799432041700822,0.0780419022578241,0.0748402201753885,0.0756998397101395
2012,0.6,15,5,47.11,0.1,42.4,0.015,0.047,0.0515,0.1704,0.0525,0.069,0.0679,0.075,0.1704296,0.0619,0.0576,0.0508,0.015,0.07236,0.06922,0.06374,0.069,0.0679,0.07614,0.072948,0.067152,0.108342806220544,0.114090547888109,0.11184779439573,0.107827860372699,0.0926056837323264,0.0960543287328656,0.0947086766374378,0.0922967162236195,0.032924377331232,0.0318089043502356,0.0322363577760755,0.0330275783191816,0.0746813064010943,0.07924542438263,0.0774723188613624,0.074269137904438,0.0746813064010943
2013,0.6,15,5,NA,NA,NA,0.015,0.043,0.0495,0.0869,0.0525,0.0605,0.0619,0.067,0.0836646,0.0612,0.0536,0.046,0.015,0.06786,0.0646,0.05894,0.0605,0.0619,0.0746,0.071484,0.065756,0.104244800404297,0.113005984150532,0.110825981767789,0.10686988968955,0.0867468802425779,0.0920035904903193,0.0906955890606735,0.0883219338137302,0.0343389620615379,0.0325621915708289,0.0329893598882421,0.0337894889077013,0.0674079181810401,0.0744413989194904,0.0727062291724314,0.0695324449060289,0.0674079181810401
2014,0.6,15,5,49.58,0.097,44.77,0.015,0.0545,0.062,0.0843,0.0525,0.0525,0.0589,0.062,0.0807344,0.0589,0.0541,0.0466,0.015,0.06552,0.0614,0.05544,0.0525,0.0589,0.07274,0.06966,0.063904,0.102224017149009,0.111702356221024,0.109558958676308,0.10560521983616,0.0823344102894052,0.0880214137326146,0.0867353752057846,0.0843631319016961,0.0353324431161548,0.0333449620795598,0.033777384050601,0.0346006826665994,0.0620019671732504,0.0696764516530548,0.0679579911551836,0.0647624492350968,0.0620019671732504
2015,0.8,25,5,49.56,0.095,44.86,0.016,NA,0.056,-0.0037,0.0525,0.0525,0.0615,0.066,-0.0084031,0.0574,0.0534,0.0457,0.016,0.06354,0.0589,0.05236,0.0525,0.0615,0.070776,0.067532,0.061784,0.0793451616690611,0.0864112388045847,0.0839114198690546,0.0795576977207826,0.0739761293352489,0.0796289910436678,0.0776291358952437,0.0741461581766261,0.0235386857244928,0.0219766526627935,0.0225064286322755,0.0234886880976661,0.066437443610756,0.0736523383808743,0.0711227072629683,0.06665747007896,0.066437443610756
2016,0.8,25,5,49.77,0.094,45.11,0.016,NA,0.0515,0.0213,0.055,0.0525,0.0576,0.063,0.0170901,0.0581,0.0536,0.0465,0.016,0.06142,0.05644,0.04958,0.0525,0.0576,0.068656,0.065052,0.059176,0.0764517330410129,0.0847741518028833,0.0820209263044356,0.0776152790294177,0.0716613864328103,0.0783193214423067,0.0761167410435485,0.0725922232235341,0.0242394443452272,0.0223208841035883,0.0229233335829741,0.0239530732236048,0.0634219420875831,0.0719984373387183,0.0691934074605744,0.0646391499999293,0.0634219420875831
2017,0.8,25,25,49.89,0.092,45.31,0.016,NA,0.0565,0.029,0.055,0.0773,0.0555,0.08,0.0462698,0.0595,0.0551,0.048,0.016,0.05992,0.0548,0.04758,0.076871148,0.0555,0.06614,0.062112,0.056012,0.0749135185158482,0.0828480779985978,0.0798034681449126,0.0752872548404489,0.0753050444126786,0.0816526919988782,0.0792170041159301,0.0756040334723591,0.0114533759317667,0.0114533759317667,0.0114533759317667,0.0114533759317667,0.0798516684809119,0.0861993160671115,0.0837636281841634,0.0801506575405924,0.0798516684809119
2018,0.8,25,25,49.94,0.09,45.44,0.016,NA,0.0604,NA,NA,0.0773,0.0552,0.08,0.0179016,0.061,0.0584,0.0514,0.016,0.05974,0.0548,0.04758,0.076614496,0.05518,0.063652,0.059228,0.05278,0.0746803600020956,0.0809617533147413,0.0776538025879156,0.072942218704433,0.0750671872016765,0.080092301851793,0.0774459412703325,0.0736766741635464,0.0114961587309904,0.0114961587309904,0.0114961587309904,0.0114961587309904,0.0795710284706861,0.0845961431208026,0.0819497825393421,0.078180515432556,0.0795710284706861
2019,0.8,25,25,NA,NA,NA,NA,NA,0.06,NA,NA,0.0755,0.0569,0.08,0.0363328,0.0658,0.0617,0.0553,0.016,0.05974,0.05496,0.0477,0.075846128,0.05688,0.062028,0.0573,0.050532,0.0759227661297612,0.0797404957141708,0.0762311308435787,0.071331250847276,0.0759074385038089,0.0789616221713366,0.076154130274863,0.0722342262778208,0.0116250872004832,0.0116250872004832,0.0116250872004832,0.0116250872004832,0.0802823513033258,0.0833365349708535,0.0805290430743798,0.0766091390773377,0.0802823513033258
2020,0.8,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.0601166666666667,0.05605,0.0489166666666667,0.07348972,0.0577333333333333,0.0609473333333333,0.05623,0.0492273333333333,0.0765498696579682,0.0789322722109888,0.0754466391256399,0.0704039886870581,0.0759378397263746,0.077843761768791,0.0750552553005119,0.0710211349496465,0.0120284631460317,0.0120284631460317,0.0120284631460317,0.0120284631460317,0.0799093765803429,0.0818152986227593,0.0790267921544802,0.0749926718036148,0.0799093765803429
2021,0.8,25,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.016,0.06036,0.05644,0.04938,0.072509696,0.05688,0.0603113333333333,0.055738,0.0486313333333333,0.0759227661297612,0.0784582872576414,0.0750871431465164,0.0699822935977496,0.0752401521038089,0.0772685690061131,0.0745716537172131,0.0704877740781997,0.0121998160256047,0.0121998160256047,0.0121998160256047,0.0121998160256047,0.0790403360782042,0.0810687529805084,0.0783718376916084,0.074287958052595,0.0790403360782042
