Tax Year,Capitalization Rate,Yields,Prices,Non-Land Costs,Rotation,
2005,1999-2005           ,1984      ,1997-2003 ,1998-2004      ,ad hoc    ,
2006,2000-2006           ,1995-2004 ,1998-2004 ,1999-2005      ,ad hoc    ,
2007,2001-2007           ,1996-2005 ,1999-2005 ,2000-2006      ,ad hoc    ,
2008,2002-2008           ,1997-2006 ,2000-2006 ,2001-2007      ,ad hoc    ,
2009,2003-2009           ,1998-2007 ,2001-2007 ,2002-2008      ,ad hoc    ,
2010,2004-2010           ,1999-2008 ,2002-2008 ,2003-2009      ,2004-2008 ,
2011,2005-2011           ,2000-2009 ,2003-2009 ,2004-2010      ,2005-2009 ,
2012,2006-2012           ,2001-2010 ,2004-2010 ,2005-2011      ,2006-2010 ,
2013,2007-2013           ,2002-2011 ,2005-2011 ,2006-2012      ,2007-2011 ,
2014,2008-2014           ,2003-2012 ,2006-2012 ,2007-2013      ,2008-2012 ,
2015,2009-2015           ,2005-2014 ,2008-2014 ,2009-2015      ,2010-2014 ,
2016,2010-2016           ,2006-2015 ,2009-2015 ,2010-2016      ,2011-2015 ,
2017,2011-2017           ,2007-2016 ,2010-2016 ,2011-2017      ,2012-2016 ,
2018,2012-2018           ,2008-2017 ,2011-2017 ,2012-2018      ,2013-2017 ,
2019,2013-2019           ,2009-2018 ,2012-2018 ,2013-2019      ,2014-2018 ,
Future Years, current to 6 years ago, previous to 11 years ago, previous to 7 years ago, current to 6 years ago, previous to 5 years ago,
Averaging,7 Olympic ,10 Average lagged, 7 Olympic lagged,7 Olympic, 5 Average lagged